batch_id,type,user_count,produced_size_kb,ts0_generated,ts1_serialized,ts2_produced,ts3_created,ts4_consumed,ts5_deserialized,consumed_size_kb,serialize_duration,produce_duration,consume_duration,deserialize_duration,throughput_kbps
49,json,1,0.1552734375,1718372788.63786,1718372788.63786,1718372788.64399,1718372788.637,1718372788.64399,1718372788.64399,0.1552734375,0.0,0.00612401962280273,0.00698494911193848,0.0,22.2297163532102
50,json,1,0.1552734375,1718372789.1448,1718372789.1448,1718372789.15063,1718372789.144,1718372789.15236,1718372789.15236,0.1552734375,0.0,0.00583076477050781,0.00836277008056641,0.0,18.5672254533014
51,json,50,7.7646484375,1718372789.65215,1718372789.6536,1718372789.66276,1718372789.653,1718372789.66628,1718372789.66669,7.7646484375,0.00145888328552246,0.0091552734375,0.0132768154144287,0.000410556793212891,584.827625837269
52,json,50,7.90625,1718372790.18522,1718372790.18823,1718372790.19728,1718372790.188,1718372790.19833,1718372790.19833,7.90625,0.00300478935241699,0.00905132293701172,0.0103268623352051,0.0,765.600406335134
53,json,50,7.9072265625,1718372790.7292,1718372790.73035,1718372790.86658,1718372790.73,1718372790.8633,1718372790.8633,7.9072265625,0.00115251541137695,0.136228084564209,0.133296728134155,0.0,59.3204850050171
54,json,50,7.9072265625,1718372791.55488,1718372791.55488,1718372791.57591,1718372791.554,1718372791.57787,1718372791.57787,7.9072265625,0.0,0.021028995513916,0.023869514465332,0.0,331.268848136162
55,json,50,7.9033203125,1718372792.66152,1718372792.66152,1718372792.89186,1718372792.661,1718372792.84211,1718372792.84312,7.9033203125,0.0,0.23034143447876,0.18111252784729,0.0010077953338623,43.6376235616561
56,json,50,7.904296875,1718372793.60159,1718372793.60274,1718372793.66075,1718372793.602,1718372793.66275,1718372793.66375,7.904296875,0.00115275382995605,0.0580055713653564,0.0607469081878662,0.000999212265014648,130.118504970741
57,json,50,7.9091796875,1718372794.16251,1718372794.16251,1718372794.17303,1718372794.162,1718372794.17985,1718372794.17985,7.9091796875,0.0,0.0105206966400146,0.017845630645752,0.0,443.199786239145
58,json,50,7.904296875,1718372795.14052,1718372795.14052,1718372795.29327,1718372795.14,1718372795.51358,1718372795.51358,7.904296875,0.0,0.152749061584473,0.373584270477295,0.0,21.1580023562057
59,json,50,7.904296875,1718372795.80587,1718372795.80587,1718372795.84224,1718372795.805,1718372795.85519,1718372795.85625,7.904296875,0.0,0.0363712310791016,0.0501847267150879,0.00106239318847656,157.504033445769
60,json,50,7.9052734375,1718372796.3445,1718372796.34509,1718372796.35636,1718372796.345,1718372796.35636,1718372796.35736,7.9052734375,0.000590801239013672,0.0112695693969727,0.0113611221313477,0.000999689102172852,695.818013934357
61,json,50,7.9033203125,1718372796.85829,1718372796.85829,1718372796.86341,1718372796.858,1718372796.8649,1718372796.8649,7.9033203125,0.0,0.00512003898620606,0.00690031051635742,0.0,1145.35719715293
62,json,50,7.90234375,1718372797.36481,1718372797.36481,1718372797.37008,1718372797.364,1718372797.37291,1718372797.3731,7.90234375,0.0,0.00527048110961914,0.00890707969665527,0.000194311141967773,887.198051339704
63,json,50,7.908203125,1718372797.87084,1718372797.87199,1718372797.87629,1718372797.871,1718372797.8813,1718372797.88142,7.908203125,0.0011439323425293,0.0043027400970459,0.0103013515472412,0.000121116638183594,767.685976809313
